【大梁】
符号名：断面,符号名,共通符号名,階数,断面位置,断面,ｺﾝｸﾘｰﾄ:ｂ×Ｄ,主筋:上端,主筋:下端,主筋:材料:上端,主筋:材料:下端,かぶり・あき:上端mm,かぶり・あき:下端mm,あばら筋:　,あばら筋:材料
11G3:中央,11G3,G3,11層,中央,,700×750(Fc30),6-D35,6-D35,SD390,SD390,50,50,3-TA13@150,SPR685
11G3:右端,11G3,G3,11層,右端,,700×750(Fc30),6/2-D35,6/2-D35,SD390,SD390,50/52.5,50/52.5,3-TA13@150,SPR685
10G3:左端,10G3,G3,10層,左端,,700×750(Fc33),6/2-D35,6/2-D35,SD390,SD390,50/52.5,50/52.5,3-TA13@150,SPR685
10G3:中央,10G3,G3,10層,中央,,700×750(Fc33),6-D35,6-D35,SD390,SD390,50,50,3-TA13@150,SPR685
10G3:右端,10G3,G3,10層,右端,,700×750(Fc33),6/2-D35,6/2-D35,SD390,SD390,50/52.5,50/52.5,3-TA13@150,SPR685
9G3:左端,9G3,G3,9層,左端,,700×800(Fc33),6/3-D35,6/3-D35,SD390,SD390,50/52.5,50/52.5,3-TA13@150,SPR685
9G3:中央,9G3,G3,9層,中央,,700×800(Fc33),6-D35,6-D35,SD390,SD390,50,50,3-TA13@150,SPR685
9G3:右端,9G3,G3,9層,右端,,700×800(Fc33),6/3-D35,6/3-D35,SD390,SD390,50/52.5,50/52.5,3-TA13@150,SPR685
8G3:左端,8G3,G3,8層,左端,,800×800(Fc33),7/4-D35,7/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
8G3:中央,8G3,G3,8層,中央,,800×800(Fc33),7-D35,7-D35,SD390,SD390,50,50,4-TA13@150,SPR685
8G3:右端,8G3,G3,8層,右端,,800×800(Fc33),7/3-D35,7/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
7G3:左端,7G3,G3,7層,左端,,800×800(Fc33),7/5-D35,7/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
7G3:中央,7G3,G3,7層,中央,,800×800(Fc33),7-D35,7-D35,SD390,SD390,50,50,4-TA13@150,SPR685
7G3:右端,7G3,G3,7層,右端,,800×800(Fc33),7/3-D35,7/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
6G3:左端,6G3,G3,6層,左端,,800×800(Fc36),7/5-D35,7/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
6G3:中央,6G3,G3,6層,中央,,800×800(Fc36),7-D35,7-D35,SD390,SD390,50,50,4-TA13@150,SPR685
6G3:右端,6G3,G3,6層,右端,,800×800(Fc36),7/3-D35,7/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
3G3:左端,5G3,G3,5層～3層,左端,,800×850(Fc36),7/5-D35,7/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
4G3:左端,5G3,G3,5層～3層,左端,,800×850(Fc36),7/5-D35,7/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
5G3:左端,5G3,G3,5層～3層,左端,,800×850(Fc36),7/5-D35,7/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
3G3:中央,5G3,G3,5層～3層,中央,,800×850(Fc36),7-D35,7-D35,SD390,SD390,50,50,4-TA13@150,SPR685
4G3:中央,5G3,G3,5層～3層,中央,,800×850(Fc36),7-D35,7-D35,SD390,SD390,50,50,4-TA13@150,SPR685
5G3:中央,5G3,G3,5層～3層,中央,,800×850(Fc36),7-D35,7-D35,SD390,SD390,50,50,4-TA13@150,SPR685
3G3:右端,5G3,G3,5層～3層,右端,,800×850(Fc36),7/4-D35,7/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
4G3:右端,5G3,G3,5層～3層,右端,,800×850(Fc36),7/4-D35,7/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
5G3:右端,5G3,G3,5層～3層,右端,,800×850(Fc36),7/4-D35,7/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
2G3:左端,2G3,G3,2層,左端,,800×900(Fc36),7/5-D35,7/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
2G3:中央,2G3,G3,2層,中央,,800×900(Fc36),7-D35,7-D35,SD390,SD390,50,50,4-TA13@150,SPR685
2G3:右端,2G3,G3,2層,右端,,800×900(Fc36),7/3-D35,7/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
RG4:左端,RG4,G4,R層,左端,,500×800(Fc24),4/2-D25,4-D25,SD345,SD345,50/37.5,50,2-D13@150,SD295A
RG4:中央,RG4,G4,R層,中央,,500×800(Fc24),4-D25,4-D25,SD345,SD345,50,50,2-D13@150,SD295A
RG4:右端,RG4,G4,R層,右端,,500×800(Fc24),4/2-D25,4-D25,SD345,SD345,50/37.5,50,2-D13@150,SD295A
RG5:全断面,RG5,G5,R層,全断面,,500×800(Fc24),4/2-D25,4-D25,SD345,SD345,50/37.5,50,2-TA13@150,SPR685
15G4:左端,15G4,G4,15層,左端,,500×800(Fc27),4/2-D29,4-D29,SD390,SD390,50/43.5,50,3-D13@150,SD295A
15G4:中央,15G4,G4,15層,中央,,500×800(Fc27),4-D29,4-D29,SD390,SD390,50,50,3-D13@150,SD295A
15G4:右端,15G4,G4,15層,右端,,500×800(Fc27),4/2-D29,4-D29,SD390,SD390,50/43.5,50,3-D13@150,SD295A
15G5:全断面,15G5,G5,15層,全断面,,500×800(Fc27),4/2-D29,4-D29,SD390,SD390,50/43.5,50,3-TA13@150,SPR685
14G4:左端,14G4,G4,14層,左端,,500×800(Fc27),4/2-D32,4-D32,SD390,SD390,50/48.0,50,4-D13@150,SD295A
14G4:中央,14G4,G4,14層,中央,,500×800(Fc27),4-D32,4-D32,SD390,SD390,50,50,4-D13@150,SD295A
14G4:右端,14G4,G4,14層,右端,,500×800(Fc27),4/2-D32,4-D32,SD390,SD390,50/48.0,50,4-D13@150,SD295A
14G5:全断面,14G5,G5,14層,全断面,,500×800(Fc27),4/2-D32,4-D32,SD390,SD390,50/48.0,50,4-TA13@150,SPR685
13G4:左端,13G4,G4,13層,左端,,600×800(Fc30),5/3-D32,5/1-D32,SD390,SD390,50/48.0,50/48.0,4-D13@125,SD295A
13G4:中央,13G4,G4,13層,中央,,600×800(Fc30),5-D32,5-D32,SD390,SD390,50,50,4-D13@125,SD295A
13G4:右端,13G4,G4,13層,右端,,600×800(Fc30),5/3-D32,5/1-D32,SD390,SD390,50/48.0,50/48.0,4-D13@125,SD295A
13G5:全断面,13G5,G5,13層,全断面,,600×800(Fc30),5/3-D32,5/1-D32,SD390,SD390,50/48.0,50/48.0,4-TA13@150,SPR685
12G4:左端,12G4,G4,12層,左端,,600×800(Fc30),5/4-D32,5/3-D32,SD390,SD390,50/48.0,50/48.0,3-TA13@150,SPR685
12G4:中央,12G4,G4,12層,中央,,600×800(Fc30),5-D32,5-D32,SD390,SD390,50,50,3-TA13@150,SPR685
12G4:右端,12G4,G4,12層,右端,,600×800(Fc30),5/4-D32,5/3-D32,SD390,SD390,50/48.0,50/48.0,3-TA13@150,SPR685
