【大梁】
符号名：断面,符号名,共通符号名,階数,断面位置,断面,ｺﾝｸﾘｰﾄ:ｂ×Ｄ,ｺﾝｸﾘｰﾄ:荷重剛性用,主筋:上端,主筋:下端,主筋:材料:上端,主筋:材料:下端,かぶり・あき:上端mm,かぶり・あき:下端mm,あばら筋:　,あばら筋:材料
7G3:端部,7G3,G3,7FL層,端部,,550×800(Fc30),,5/2-D32,5/1-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
7G3:中央,7G3,G3,7FL層,中央,,550×800(Fc30),,5-D32,5-D32,SD390,SD390,50,60,3-TA13@150,SPR685
6G2:左端,6G2,G2,6FL層,左端,,550×800(Fc30),,5/4-D32,5/3-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
6G2:中央,6G2,G2,6FL層,中央,,550×800(Fc30),,5-D32,5-D32,SD390,SD390,50,60,3-TA13@150,SPR685
6G2:右端,6G2,G2,6FL層,右端,,550×800(Fc30),,5/3-D32,5/2-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
6G3:端部,6G3,G3,6FL層,端部,,550×800(Fc30),,5/3-D32,5/1-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
6G3:中央,6G3,G3,6FL層,中央,,550×800(Fc30),,5-D32,5-D32,SD390,SD390,50,60,3-TA13@150,SPR685
5G2:左端,5G2,G2,5FL層,左端,,650×800(Fc30),,6/4-D32,6/3-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
5G2:中央,5G2,G2,5FL層,中央,,650×800(Fc30),,6-D32,6-D32,SD390,SD390,50,60,3-TA13@150,SPR685
5G2:右端,5G2,G2,5FL層,右端,,650×800(Fc30),,6/3-D32,6/2-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
5G3:端部,5G3,G3,5FL層,端部,,650×800(Fc30),,6/3-D32,6/1-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
5G3:中央,5G3,G3,5FL層,中央,,650×800(Fc30),,6-D32,6-D32,SD390,SD390,50,60,3-TA13@150,SPR685
3G2:左端,4G2,G2,4FL層～3FL層,左端,,650×800(Fc30),,6/4-D32,6/3-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
4G2:左端,4G2,G2,4FL層～3FL層,左端,,650×800(Fc30),,6/4-D32,6/3-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
3G2:中央,4G2,G2,4FL層～3FL層,中央,,650×800(Fc30),,6-D32,6-D32,SD390,SD390,50,60,3-TA13@150,SPR685
4G2:中央,4G2,G2,4FL層～3FL層,中央,,650×800(Fc30),,6-D32,6-D32,SD390,SD390,50,60,3-TA13@150,SPR685
3G2:右端,4G2,G2,4FL層～3FL層,右端,,650×800(Fc30),,6/3-D32,6/2-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
4G2:右端,4G2,G2,4FL層～3FL層,右端,,650×800(Fc30),,6/3-D32,6/2-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
3G3:端部,4G3,G3,4FL層～3FL層,端部,,650×800(Fc30),,6/3-D32,6/2-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
4G3:端部,4G3,G3,4FL層～3FL層,端部,,650×800(Fc30),,6/3-D32,6/2-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
3G3:中央,4G3,G3,4FL層～3FL層,中央,,650×800(Fc30),,6-D32,6-D32,SD390,SD390,50,60,3-TA13@150,SPR685
4G3:中央,4G3,G3,4FL層～3FL層,中央,,650×800(Fc30),,6-D32,6-D32,SD390,SD390,50,60,3-TA13@150,SPR685
2G2:左端,2G2,G2,2FL層,左端,,650×800(Fc30),,6/4-D32,6/3-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
2G2:中央,2G2,G2,2FL層,中央,,650×800(Fc30),,6-D32,6-D32,SD390,SD390,50,60,3-TA13@150,SPR685
2G2:右端,2G2,G2,2FL層,右端,,650×800(Fc30),,6/3-D32,6/2-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
2G3:端部,2G3,G3,2FL層,端部,,650×800(Fc30),,6/3-D32,6/2-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
2G3:中央,2G3,G3,2FL層,中央,,650×800(Fc30),,6-D32,6-D32,SD390,SD390,50,60,3-TA13@150,SPR685
RG11:全断面,RG11,G11,RFL層,全断面,,350×650(Fc24),350×725,3-D22,3-D22,SD345,SD345,90,100,2-D10@200,SD295A
10G11:全断面,10G11,G11,10FL層,全断面,,350×650(Fc24),,3-D19,3-D19,SD345,SD345,90,100,2-D10@200,SD295A
9G11:全断面,9G11,G11,9FL層,全断面,,350×650(Fc27),,3-D19,3-D19,SD345,SD345,90,100,2-D10@200,SD295A
8G11:全断面,8G11,G11,8FL層,全断面,,350×650(Fc27),,3-D19,3-D19,SD345,SD345,90,100,2-D10@200,SD295A
7G11:全断面,7G11,G11,7FL層,全断面,,350×650(Fc30),,3-D19,3-D19,SD345,SD345,90,100,2-D10@200,SD295A
